feature_name,cluster_id
RIAGENDR,0
RIDAGEYR,0
RIDAGEMN,10
RIDRETH1,0
RIDRETH3,0
RIDEXAGY,10
RIDEXAGM,10
DMQMILIZ,0
DMQADFC,0
DMDBORN4,0
DMDCITZN,0
DMDYRSUS,0
DMDEDUC3,10
DMDEDUC2,1
DMDMARTL,1
RIDEXPRG,0
INDHHIN2,1
INDFMIN2,1
INDFMPIR,1
DMDHHSIZ,1
DMDFMSIZ,1
DMDHHSZA,1
DMDHHSZB,1
DMDHHSZE,1
DMDHRGND,1
DMDHRAGE,1
DMDHRBR4,1
DMDHREDU,1
DMDHRMAR,1
DMDHSEDU,1
BMXWT,2
BMIWT,2
BMXRECUM,10
BMIRECUM,10
BMXHEAD,10
BMIHEAD,10
BMXHT,2
BMIHT,2
BMXBMI,2
BMDBMIC,10
BMXLEG,2
BMILEG,2
BMXARML,2
BMIARML,2
BMXARMC,2
BMIARMC,2
BMXWAIST,2
BMIWAIST,2
BMXSAD1,2
BMXSAD2,2
BMXSAD3,2
BMXSAD4,2
BMDAVSAD,2
PEASCST1,4
PEASCTM1,4
PEASCCT1,4
BPXCHR,10
BPACSZ,4
BPXPLS,3
BPXPULS,3
BPXPTY,3
BPXML1,4
BPXSY1,3
BPXDI1,3
BPAEN1,4
BPXSY2,3
BPXDI2,3
BPAEN2,4
BPXSY3,3
BPXDI3,3
BPAEN3,4
BPXSY4,3
BPXDI4,3
BPAEN4,4
LBXGH,5
LBXGLU,5
LBDGLUSI,5
LBXIN,5
LBDINSI,5
PHAFSTHR,5
PHAFSTMN,5
LBXTR,6
LBDTRSI,6
LBDLDL,6
LBDLDLSI,6
SMQ020,7
SMD030,7
SMQ040,7
SMQ050Q,7
SMQ050U,7
SMD055,7
SMD057,7
SMQ077,7
SMD641,7
SMD650,7
SMD093,8
SMD100FL,8
SMD100MN,8
SMD100LN,8
SMD100TR,8
SMD100NI,8
SMD100CO,8
SMQ621,10
SMD630,10
SMQ660,10
SMQ664M,10
SMQ664C,10
SMQ664W,10
SMQ664B,10
SMQ664O,10
SMQ670,7
ALQ101,9
ALQ110,9
ALQ120Q,9
ALQ120U,9
ALQ130,9
ALQ141Q,9
ALQ141U,9
ALQ151,9
ALQ155,9
SMQ078,7
SMQ661,10
SMQ665A,10
SMQ665B,10
SMQ665C,10
SMQ665D,10
SMQ848,7
SMQ852Q,7
SMQ852U,7
ALQ160,9
SMQ925,7
SMQ930,7
SMQ935,7
SMQ080,7
SMQ890,8
SMQ895,8
SMQ900,8
SMQ905,8
SMQ910,8
SMQ915,8
DMDHRAGZ,1
DMDHREDZ,1
DMDHRMAZ,1
DMDHSEDZ,1
BMXHIP,2
BMIHIP,2
LBDLDLM,6
LBDLDMSI,6
LBDLDLN,6
LBDLDNSI,6
ALQ111,9
ALQ121,9
ALQ142,9
ALQ270,9
ALQ280,9
ALQ290,9
ALQ170,9
DMDYRUSZ,0
DMDMARTZ,1
BPAOCSZ,4
BPXOSY1,3
BPXODI1,3
BPXOSY2,3
BPXODI2,3
BPXOSY3,3
BPXODI3,3
BPXOPLS1,3
BPXOPLS2,3
BPXOPLS3,3
WTSAFPRP,5
DMDYRUSR,0
LBXTLG,6
