feature_name,cluster_id
RIAGENDR,7
RIDAGEYR,8
RIDAGEMN,10
RIDRETH1,2
RIDRETH3,2
RIDEXAGY,10
RIDEXAGM,10
DMQMILIZ,2
DMQADFC,2
DMDBORN4,2
DMDCITZN,2
DMDYRSUS,2
DMDEDUC3,10
DMDEDUC2,6
DMDMARTL,6
RIDEXPRG,6
INDHHIN2,2
INDFMIN2,2
INDFMPIR,2
DMDHHSIZ,2
DMDFMSIZ,2
DMDHHSZA,2
DMDHHSZB,2
DMDHHSZE,2
DMDHRGND,6
DMDHRAGE,8
DMDHRBR4,2
DMDHREDU,2
DMDHRMAR,6
DMDHSEDU,6
BMXWT,9
BMIWT,9
BMXRECUM,10
BMIRECUM,10
BMXHEAD,10
BMIHEAD,10
BMXHT,3
BMIHT,3
BMXBMI,4
BMDBMIC,10
BMXLEG,3
BMILEG,3
BMXARML,3
BMIARML,3
BMXARMC,3
BMIARMC,3
BMXWAIST,3
BMIWAIST,3
BMXSAD1,3
BMXSAD2,3
BMXSAD3,3
BMXSAD4,3
BMDAVSAD,3
PEASCST1,1
PEASCTM1,1
PEASCCT1,1
BPXCHR,10
BPACSZ,3
BPXPLS,1
BPXPULS,1
BPXPTY,1
BPXML1,1
BPXSY1,1
BPXDI1,1
BPAEN1,7
BPXSY2,1
BPXDI2,1
BPAEN2,7
BPXSY3,1
BPXDI3,1
BPAEN3,7
BPXSY4,1
BPXDI4,1
BPAEN4,7
LBXGH,4
LBXGLU,4
LBDGLUSI,4
LBXIN,4
LBDINSI,4
PHAFSTHR,4
PHAFSTMN,4
LBXTR,4
LBDTRSI,4
LBDLDL,4
LBDLDLSI,4
SMQ020,0
SMD030,0
SMQ040,0
SMQ050Q,0
SMQ050U,2
SMD055,0
SMD057,0
SMQ077,0
SMD641,0
SMD650,0
SMD093,0
SMD100FL,0
SMD100MN,0
SMD100LN,0
SMD100TR,0
SMD100NI,0
SMD100CO,0
SMQ621,10
SMD630,10
SMQ660,10
SMQ664M,10
SMQ664C,10
SMQ664W,10
SMQ664B,10
SMQ664O,10
SMQ670,0
ALQ101,5
ALQ110,5
ALQ120Q,5
ALQ120U,5
ALQ130,5
ALQ141Q,5
ALQ141U,2
ALQ151,5
ALQ155,5
SMQ078,0
SMQ661,10
SMQ665A,10
SMQ665B,10
SMQ665C,10
SMQ665D,10
SMQ848,0
SMQ852Q,0
SMQ852U,0
ALQ160,5
SMQ925,0
SMQ930,0
SMQ935,0
SMQ080,0
SMQ890,0
SMQ895,0
SMQ900,0
SMQ905,0
SMQ910,0
SMQ915,0
DMDHRAGZ,6
DMDHREDZ,6
DMDHRMAZ,6
DMDHSEDZ,6
BMXHIP,3
BMIHIP,3
LBDLDLM,4
LBDLDMSI,4
LBDLDLN,4
LBDLDNSI,4
ALQ111,5
ALQ121,5
ALQ142,5
ALQ270,5
ALQ280,5
ALQ290,5
ALQ170,5
DMDYRUSZ,2
DMDMARTZ,6
BPAOCSZ,3
BPXOSY1,1
BPXODI1,1
BPXOSY2,1
BPXODI2,1
BPXOSY3,1
BPXODI3,1
BPXOPLS1,1
BPXOPLS2,1
BPXOPLS3,1
WTSAFPRP,4
DMDYRUSR,2
LBXTLG,4
